path,format,width,height,bytes,placement,sha256
src/assets/images/home/featured/atlantic-salmon-1280.webp,WEBP,1280,960,155994,Home featured F2,234f21d8f69a6245aea95f9ba951986ba2ef23501cf1a4d3b5e71293bb6009c1
src/assets/images/home/featured/atlantic-salmon-640.webp,WEBP,640,480,58398,Home featured F2,1af6be123b9eb6486064e715b42f681a0fbd464d903388b83cbe2b7e8338bb73
src/assets/images/home/featured/atlantic-salmon.png,PNG,1448,1086,2274408,Home featured F2,04cf8100ac9bc6fc2e9def6cd64ad6552f3357a1d4872593f2e777e27b513be5
src/assets/images/home/featured/braised-short-rib-1280.webp,WEBP,1280,960,153862,Home featured F1,1469395c9f29a99d731c970ccfd99acbf72b6a6e1d44b6b9f269614ac264375c
src/assets/images/home/featured/braised-short-rib-640.webp,WEBP,640,480,56628,Home featured F1,9506817aabf8e7246add945420a31cc562c914209d2eaa41fbdcbdbf308eb7eb
src/assets/images/home/featured/braised-short-rib.png,PNG,1448,1086,2239435,Home featured F1,3f9650cfbd12974084e372e5d1fa3022b40bfe2312e44a804e625bd812cb852c
src/assets/images/home/featured/mushroom-rigatoni-1280.webp,WEBP,1280,960,154802,Home featured F3,2a7510ba2652adeaedc24dca809fd67d5402b0c03c4d51b00475c0c0680ed8a6
src/assets/images/home/featured/mushroom-rigatoni-640.webp,WEBP,640,480,59168,Home featured F3,b75add53e534a44b99b9a4a29b6e4f5391c0ecb745644a736d552e607de93f12
src/assets/images/home/featured/mushroom-rigatoni.png,PNG,1448,1086,2257556,Home featured F3,6f346a69b68c702ed42ab9c63c9b45cb7b0592d816b02c3fa0a1a4060ffe6499
src/assets/images/home/gallery/cocktail-1122.webp,WEBP,1122,1402,157000,Home Gallery,44cb004f1cdd46f82aa2a3ba53338f01019babe66e20dad4ee8985d053335aff
src/assets/images/home/gallery/cocktail-640.webp,WEBP,640,800,74560,Home Gallery,b76e43c2fe6250bbfde2500668781fccc713ffebdb5f1fc978673e262b3635b0
src/assets/images/home/gallery/cocktail.png,PNG,1122,1402,2111834,Home Gallery,6376607ec8f585e3b89dfb56bf44b9fa1f63d538aa6c46738277b6248cca553f
